1;Побег из Шоушенка;1994;Фрэнк Дарабонт;драма
2;Крёстный отец;1972;Фрэнсис Форд Коппола;детектив, драма
3;Крёстный отец 2;1974;Фрэнсис Форд Коппола;детектив, драма
4;Тёмный рыцарь;2008;Кристофер Нолан;боевик, детектив, драма, триллер
5;12 разгневанных мужчин;1957;Сидни Люмет;детектив, драма
6;Список Шиндлера;1993;Стивен Спилберг;биография, драма, исторический фильм
7;Криминальное чтиво;1994;Квентин Тарантино;детектив, драма
8;Властелин колец: Возвращение короля;2003;Питер Джексон;приключение, драма, фэнтези
9;Джокер;2019;Тодд Филлипс;драма, триллер
10;Бойцовский клуб;1999;Дэвид Финчер;драма
11;Властелин колец: Братство Кольца;2001;Питер Джексон;приключение, драма, фэнтези
12;Форрест Гамп;1994;Роберт Земекис;комедия, драма, мелодрама
13;Звёздные войны. Эпизод V: Империя наносит ответный удар;1980;Ирвин Кершнер;боевик, приключение, фэнтези, научная фантастика
14;Начало;2010;Кристофер Нолан;боевик, приключение, научная фантастика, триллер
15;Властелин колец: Две крепости;2002;Питер Джексон;приключение, драма, фэнтези
16;Пролетая над гнездом кукушки;1975;Милош Форман;драма
17;Славные парни;1990;Мартин Скорсезе;детектив, драма
18;Матрица;1999;Энди и Ларри Вачовски;боевик, научная фантастика
19;Семь самураев;1954;Акира Куросава;приключение, драма
20;Звёздные войны. Эпизод IV: Новая надежда;1977;Джордж Лукас;боевик, приключение, фэнтези, научная фантастика
21;Город Бога;2002;Фернанду Мейреллиш;детектив, драма
22;Семь;1995;Дэвид Финчер;детектив, драма, таинственный фильм, триллер
23;Молчание ягнят;1991;Джонатан Демми;детектив, драма, триллер
24;Эта прекрасная жизнь;1946;Фрэнк Капра;драма, семейный фильм, фэнтези
25;Жизнь прекрасна;1997;Роберто Бениньи;комедия, драма, военный фильм
26;Подозрительные лица;1995;Брайан Сингер;детектив, драма, таинственный фильм, триллер
27;Леон;1994;Люк Бессон;детектив, драма,триллер
28;Спасти рядового Райана;1998;Стивен Спилберг;драма, военный фильм
29;Унесённые призраками;2001;Хаяо Миядзаки;мультфильм, приключение, семейный фильм, фэнтези, таинственный фильм
30;Американская история Икс;1998;Тони Кэй;детектив, драма
31;Однажды на Диком Западе;1968;Серджо Леоне;исторический фильм, вестерн
32;Интерстеллар;2014;Кристофер Нолан;приключение, драма, научная фантастика
33;Психо;1960;Альфред Хичкок;фильм ужасов, таинственный фильм, триллер
34;Зелёная миля;1999;Фрэнк Дарабонт;детектив, драма, фэнтези, таинственный фильм
35;Касабланка;1942;Майкл Кёртиц;драма, мелодрама, военный фильм
36;Огни большого города;1931;Чарли Чаплин;комедия, драма, мелодрама
37;1+1;2011;Оливье Накаш, Эрик Толедано;биография, комедия, драма
38;Новые времена;1936;Чарли Чаплин;комедия, драма, семейный фильм, мелодрама
39;Индиана Джонс: В поисках утраченного ковчега;1981;Стивен Спилберг;боевик, приключение
40;Пианист;2002;Роман Полански;биография, драма, музыкальный фильм, военный фильм
41;Отступники;2006;Мартин Скорсезе;детектив, драма, триллер
42;Окно во двор;1954;Альфред Хичкок;таинственный фильм, триллер
43;Терминатор 2: Судный день;1991;Джеймс Кэмерон;боевик, научная фантастика, триллер
44;Назад в будущее;1985;Роберт Земекис;приключение, комедия, научная фантастика
45;Одержимость;2014;Дэмьен Шазелл;драма, музыкальный фильм
46;Гладиатор;2000;Ридли Скотт;боевик, приключение, драма
47;Престиж;2006;Кристофер Нолан;драма, таинственный фильм, научная фантастика, триллер
48;Король Лев;1994;Роджер Аллерс, Роб Минкофф;мультфильм, приключение, драма, семейный фильм, музыкальный фильм
49;Помни;2000;Кристофер Нолан;таинственный фильм, триллер
50;Апокалипсис сегодня;1979;Фрэнсис Форд Коппола;драма, военный фильм
51;Чужой;1979;Ридли Скотт;фильм ужасов, научная фантастика
52;Великий диктатор;1940;Чарли Чаплин;комедия, драма, военный фильм
